date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:40	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:11:42%20GMT	http://babele.net46.net/robots.txt		(from )
15:11:40	5740/5740	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:42%20GMT	http://babele.net46.net/	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/index.html	(from )
15:11:40	1083/1083	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:42%20GMT	http://babele.net46.net/index2.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/index2.html	(from http://babele.net46.net/)
15:11:41	1261/1261	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:43%20GMT	http://babele.net46.net/barra.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/barra.html	(from http://babele.net46.net/index2.htm)
15:11:41	4607/4607	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:43%20GMT	http://babele.net46.net/menu.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/menu.html	(from http://babele.net46.net/index2.htm)
15:11:41	3677/3677	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:44%20GMT	http://babele.net46.net/logo.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/logo.html	(from http://babele.net46.net/index2.htm)
15:11:47	162642/162642	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:26:21%20GMT	http://babele.net46.net/babele_index.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/babele_index.jpg	(from http://babele.net46.net/)
15:11:48	5415/5415	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:50%20GMT	http://babele.net46.net/curriculum.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/curriculum.html	(from http://babele.net46.net/menu.htm)
15:11:48	7192/7192	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:50%20GMT	http://babele.net46.net/spettacoli.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/spettacoli.html	(from http://babele.net46.net/menu.htm)
15:11:50	34107/34107	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:51%20GMT	http://babele.net46.net/calendario.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/calendario.html	(from http://babele.net46.net/menu.htm)
15:11:50	6763/6763	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:52%20GMT	http://babele.net46.net/curiosita.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/curiosita.html	(from http://babele.net46.net/menu.htm)
15:11:51	8408/8408	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:51%20GMT	http://babele.net46.net/fotogallery.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/fotogallery.html	(from http://babele.net46.net/menu.htm)
15:11:51	32411/32411	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:26:32%20GMT	http://babele.net46.net/barrainaltostretta.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/barrainaltostretta.jpg	(from http://babele.net46.net/barra.htm)
